accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,16.0,950.0,SIMPLE,0,1973,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,52.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,22.0,930.0,SIMPLE,0,1982,EUROP,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,300.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,003,90.0,313.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,38.0,893.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,330.0,SIMPLE,0,1971,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,24.0,330.0,SIMPLE,0,1985,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,185.0,SIMPLE,0,1982,GULF,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,51.0,950.0,SIMPLE,0,1980,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,44.0,250.0,SIMPLE,0,1985,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,34.0,989.0,SIMPLE,0,1958,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,36.0,252.0,SIMPLE,0,2002,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,809.0,SIMPLE,0,1988,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,50.0,270.0,SIMPLE,0,2000,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,,001,6.0,-1.0,SIMPLE,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,941.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,40.0,250.0,SIMPLE,0,1962,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,340.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,55.0,340.0,SIMPLE,0,1986,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,500.0,SIMPLE,0,1956,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,340.0,SIMPLE,0,1979,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,18.0,920.0,SIMPLE,0,1972,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,021,74.0,253.0,LIGHT INJURY,0,2003,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,1.0,-1.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,90.0,313.0,SIMPLE,0,1977,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,52.0,281.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,350.0,SIMPLE,0,1984,ARABI,2
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,32.0,850.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,029,70.0,444.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,009,54.0,934.0,SIMPLE,0,1958,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,990.0,SIMPLE,0,1994,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,30.0,-1.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,340.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,32.0,,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,005,90.0,201.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1980,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,54.0,364.0,SIMPLE,0,1982,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,460.0,SIMPLE,0,1975,ARABI,1
