accident_year,accident_time,weather,road_status,road_type,accident_classification,accident_nature,accident_reason,city,zone,street,accident_severity,death_count,birth_year_of_accident_perpetr,nationality_group_of_accident,total
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,-1.0,SIMPLE,0,1978,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,028,56.0,340.0,SIMPLE,0,1985,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,009,52.0,-1.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,005,90.0,624.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,001,56.0,340.0,SIMPLE,0,1979,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,40.0,-1.0,LIGHT INJURY,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,645.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,44.0,330.0,SIMPLE,0,1960,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,30.0,937.0,SIMPLE,0,1984,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,185.0,SIMPLE,0,1972,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,22.0,930.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,34.0,965.0,SIMPLE,0,1991,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,118.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,010,80.0,911.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,54.0,-1.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,-1.0,SIMPLE,0,1996,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,863.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,595.0,SIMPLE,0,1996,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,745.0,SIMPLE,0,1966,ARABI,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,005,90.0,720.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,027,91.0,774.0,SIMPLE,0,1993,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,732.0,SIMPLE,0,1965,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,57.0,-1.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,970.0,SIMPLE,0,1983,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,16.0,980.0,SIMPLE,0,1990,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,66.0,391.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,54.0,280.0,SIMPLE,0,1993,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1977,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,34.0,244.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,001,38.0,343.0,LIGHT INJURY,0,1980,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,029,70.0,1000.0,SIMPLE,0,1989,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,27.0,898.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,848.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,44.0,250.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,24.0,837.0,SIMPLE,0,1994,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,002,74.0,629.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COUP,INVERSION,,003,93.0,-1.0,LIGHT INJURY,0,1993,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,61.0,-1.0,SIMPLE,0,1967,ARABI,1
2020-01-01,8PM,,,,COUP,INVERSION,,001,69.0,-1.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,,COLLISION,,OTHER,010,71.0,1850.0,SIMPLE,0,1983,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,33.0,955.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,005,90.0,433.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,340.0,SIMPLE,0,1977,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,50.0,270.0,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,,COUP,INVERSION,,001,42.0,310.0,LIGHT INJURY,0,1979,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,028,57.0,41.0,SIMPLE,0,1984,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,955.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,180.0,SIMPLE,0,2005,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,350.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,,COUP,INVERSION,,009,51.0,660.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,986.0,SIMPLE,0,1994,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,24.0,340.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,51.0,653.0,SIMPLE,0,1980,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,18.0,920.0,SIMPLE,0,1976,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,53.0,567.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,009,55.0,363.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,009,51.0,780.0,SIMPLE,0,1960,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,56.0,480.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,001,66.0,-1.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,37.0,150.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,001,30.0,-1.0,SIMPLE,0,1998,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,842.0,SIMPLE,0,1996,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,003,94.0,-1.0,LIGHT INJURY,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,009,55.0,,SIMPLE,0,1997,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,31.0,253.0,SIMPLE,0,1983,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,-1.0,SIMPLE,0,1984,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,57.0,1.0,SIMPLE,0,1972,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,-1.0,LIGHT INJURY,0,1990,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,53.0,730.0,SIMPLE,0,1974,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,761.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,56.0,171.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,24.0,340.0,SIMPLE,0,1978,NORTH,1
2020-01-01,8PM,,,,COLLISION,,OTHER,001,68.0,233.0,LIGHT INJURY,0,1998,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,-1.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,995.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,702.0,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,38.0,820.0,SIMPLE,0,1993,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,26.0,931.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,220.0,SIMPLE,0,1989,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,52.0,371.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,870.0,SIMPLE,0,1965,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,840.0,SIMPLE,0,1996,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,619.0,SIMPLE,0,1999,ARABI,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,61.0,850.0,,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,029,69.0,800.0,LIGHT INJURY,0,1999,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,26.0,947.0,SIMPLE,0,2001,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,251.0,SIMPLE,0,1962,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,916.0,SIMPLE,0,1972,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1985,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,51.0,884.0,SIMPLE,0,1988,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,009,55.0,750.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,38.0,830.0,SIMPLE,0,1977,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,53.0,740.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,742.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,880.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,33.0,970.0,SIMPLE,0,1997,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,995.0,SIMPLE,0,1968,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,212.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,281.0,SIMPLE,0,1991,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,002,74.0,672.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,420.0,SIMPLE,0,1997,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,007,71.0,456.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,780.0,SIMPLE,0,1993,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,6.0,214.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,001,49.0,-1.0,SIMPLE,0,1989,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,009,53.0,1460.0,SIMPLE,0,1972,EUROP,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,005,90.0,-1.0,SIMPLE,0,1986,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,001,34.0,980.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,,COUP,INVERSION,,001,69.0,-1.0,SIMPLE,0,1996,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,003,94.0,-1.0,SIMPLE,0,1,,1
2020-01-01,8PM,,,,COLLISION,,,004,86.0,-1.0,SIMPLE,0,1972,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,90.0,720.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,029,70.0,443.0,SIMPLE,0,1969,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,720.0,SIMPLE,0,2000,QATAR,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,34.0,880.0,SIMPLE,0,1981,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,351.0,SIMPLE,0,1980,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,69.0,-1.0,SIMPLE,0,1988,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,945.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,015,82.0,-1.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,009,71.0,550.0,SIMPLE,0,2003,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,885.0,SIMPLE,0,1979,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,57.0,52.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,40.0,250.0,SIMPLE,0,1997,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,38.0,814.0,SIMPLE,0,1984,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,56.0,102.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,45.0,840.0,SIMPLE,0,1996,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,57.0,10.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,009,53.0,748.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,51.0,531.0,SIMPLE,0,1978,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,007,71.0,-1.0,SIMPLE,0,1995,QATAR,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,66.0,102.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,-1.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,,COLLISION,,OTHER,001,34.0,880.0,SIMPLE,0,1993,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,57.0,15.0,SIMPLE,0,1987,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,23.0,830.0,SIMPLE,0,1963,EUROP,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,253.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,950.0,SIMPLE,0,1981,ASIA,2
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,47.0,270.0,SIMPLE,0,1972,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,46.0,929.0,SIMPLE,0,1966,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,30.0,940.0,SIMPLE,0,1985,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,027,91.0,-1.0,SIMPLE,0,1956,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,51.0,790.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,426.0,SIMPLE,0,1996,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,340.0,SIMPLE,0,1,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,-1.0,SIMPLE,0,1988,OTHER,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,027,91.0,2000.0,LIGHT INJURY,0,1986,AFRIC,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,929.0,SIMPLE,0,1985,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,510.0,SIMPLE,0,2000,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,55.0,1212.0,SIMPLE,0,1977,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,53.0,893.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,43.0,819.0,SIMPLE,0,1983,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,48.0,-1.0,SIMPLE,0,1995,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,865.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,780.0,SIMPLE,0,1975,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,53.0,350.0,SIMPLE,0,1992,AFRIC,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,840.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,14.0,339.0,LIGHT INJURY,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,55.0,970.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,371.0,SIMPLE,0,1985,ARABI,2
2020-01-01,8PM,,,,COLLISION,,,001,23.0,340.0,SIMPLE,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,43.0,819.0,SIMPLE,0,1973,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,52.0,745.0,SIMPLE,0,1958,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,39.0,340.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,005,90.0,201.0,SIMPLE,0,1990,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1958,OTHER,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,52.0,640.0,SIMPLE,0,1973,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,005,91.0,299.0,SIMPLE,0,1971,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,180.0,SIMPLE,0,1997,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,39.0,-1.0,LIGHT INJURY,0,1959,ARABI,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,33.0,370.0,,0,0,,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,57.0,23.0,SIMPLE,0,2001,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,995.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,010,54.0,350.0,SIMPLE,0,1982,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,-1.0,SIMPLE,0,1985,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,56.0,1100.0,SIMPLE,0,1974,ARABI,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,001,3.0,820.0,SIMPLE,0,1981,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,60.0,200.0,SIMPLE,0,1959,ARABI,1
2020-01-01,8PM,,,,COUP,INVERSION,,001,12.0,361.0,LIGHT INJURY,0,1991,ASIA,1
2020-01-01,8PM,,,,COLLISION,,OTHER,001,43.0,250.0,LIGHT INJURY,0,1988,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,350.0,SIMPLE,0,1995,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,25.0,851.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,23.0,340.0,SIMPLE,0,1987,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,53.0,482.0,SIMPLE,0,1960,QATAR,1
2020-01-01,8PM,,,EXTERNAL,COLLISION,,,005,90.0,820.0,LIGHT INJURY,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,45.0,892.0,SIMPLE,0,1983,ASIA,2
2020-01-01,8PM,,,,COLLISION,,,001,13.0,975.0,SIMPLE,0,1972,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,34.0,948.0,SIMPLE,0,1978,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,007,80.0,-1.0,SIMPLE,0,1996,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,66.0,180.0,SIMPLE,0,1980,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,280.0,SIMPLE,0,1991,ARABI,2
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,37.0,990.0,SIMPLE,0,1973,QATAR,1
2020-01-01,8PM,,,INTERNAL,,NON COLLISION ACCIDENT (OVERTURN/FALLING),,001,28.0,840.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,001,51.0,687.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,34.0,810.0,SIMPLE,0,1987,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,32.0,975.0,SIMPLE,0,1981,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,550.0,SIMPLE,0,1977,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,52.0,990.0,SIMPLE,0,1993,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,23.0,834.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,005,90.0,312.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,576.0,SIMPLE,0,1986,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,005,90.0,635.0,SIMPLE,0,2001,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,54.0,-1.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,017,90.0,720.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,55.0,364.0,SIMPLE,0,1988,ARABI,1
2020-01-01,8PM,,,,COLLISION,,,001,25.0,220.0,SIMPLE,0,1947,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,64.0,222.0,SIMPLE,0,1999,NORTH,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,57.0,115.0,LIGHT INJURY,0,1996,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,028,91.0,2000.0,SIMPLE,0,1975,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,009,56.0,100.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH FIXED OBJECT,,001,56.0,94.0,SIMPLE,0,1970,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,001,37.0,232.0,SIMPLE,0,1992,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,45.0,320.0,SIMPLE,0,1977,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,55.0,530.0,LIGHT INJURY,0,1994,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,56.0,150.0,SIMPLE,0,1969,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,54.0,656.0,SIMPLE,0,1985,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,010,80.0,-1.0,SIMPLE,0,1994,QATAR,1
2020-01-01,8PM,,,INTERNAL,RUN OVER,COLLISION WITH PEDESTRIANS,,028,56.0,-1.0,LIGHT INJURY,0,1983,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,648.0,SIMPLE,0,1972,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,029,70.0,1390.0,HEAVY INJURY,0,1965,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,524.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,,COLLISION,,,001,1.0,119.0,SIMPLE,0,1992,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,61.0,-1.0,SIMPLE,0,1976,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,55.0,364.0,SIMPLE,0,1995,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,56.0,100.0,SIMPLE,0,1988,QATAR,1
2020-01-01,8PM,,,,COLLISION,,,005,91.0,299.0,SIMPLE,0,1988,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,028,57.0,10.0,SIMPLE,0,1989,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,43.0,655.0,SIMPLE,0,1999,ARABI,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,760.0,SIMPLE,0,1979,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,007,71.0,-1.0,SIMPLE,0,1987,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,51.0,600.0,SIMPLE,0,2000,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,27.0,950.0,SIMPLE,0,1993,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,COLLISION WITH ONE OR MORE VEHICLES,,001,6.0,119.0,SIMPLE,0,1980,QATAR,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,009,25.0,980.0,SIMPLE,0,1974,ASIA,1
2020-01-01,8PM,,,INTERNAL,COLLISION,,,001,42.0,973.0,SIMPLE,0,1961,ARABI,1
2020-01-01,8PM,,,INTERNAL,,COLLISION WITH ONE OR MORE VEHICLES,,001,53.0,950.0,,0,0,,1
2020-01-01,8PM,,,,COLLISION,,,005,90.0,-1.0,SIMPLE,0,1954,QATAR,1
2020-01-01,8PM,,,,COLLISION,COLLISION WITH FIXED OBJECT,,007,71.0,1020.0,SIMPLE,0,1993,ARABI,1
